Project name,Countries,"In isolation, Total ΔV, USD Mn","In isolation, % of ΔV in proj. country","In isolation, % of ΔV in China","In isolation, % of ΔV in all other countries","In complement, Total ΔV, USD Mn","In complement, % of ΔV in proj. country","In complement, % of ΔV in China","In complement, % of ΔV in all other countries",Ratio of ΔV iso./ΔV comp.
Thai Canal,['THA'],750.9,1.0,45.0,54.0,3.9,0.0,0.0,100.0,191.62819582798755
Kuantan Port,['MYS'],262.7,44.0,17.0,39.0,41.0,0.0,44.0,56.0,6.403897841382039
Burma Railway,"['MMR', 'THA']",155.0,54.0,12.0,34.0,9.0,27.0,7.0,65.0,17.19656323858944
Central Rail Corridor,"['RUS', 'MNG', 'CHN']",67.3,33.0,51.0,16.0,3.9,0.0,0.0,100.0,17.18464066691556
Kunming-Calcutta HSR,"['BGD', 'MMR', 'IND']",50.3,51.0,22.0,27.0,22.9,52.0,8.0,41.0,2.198784225163054
Vietnam National HSR,['VNM'],43.7,55.0,15.0,29.0,33.1,42.0,9.0,49.0,1.319398251932387
Kuala Lumpur-Singapore HSR,"['MYS', 'SGP']",42.8,50.0,15.0,35.0,102.4,57.0,5.0,38.0,0.4183298143503861
Moscow-Kazan HSR,['RUS'],38.9,57.0,10.0,33.0,3.9,0.0,0.0,100.0,9.918384486712544
Highway A2,"['KAZ', 'UZB']",26.8,56.0,5.0,39.0,30.0,17.0,21.0,61.0,0.8939836597331677
Tehran-Mashhad rail electrification,['IRN'],26.7,50.0,11.0,39.0,10.5,0.0,9.0,91.0,2.535851272857927
Tbilisi-Kars rail,"['TUR', 'GEO']",24.2,21.0,25.0,54.0,3.9,0.0,0.0,100.0,6.185464292489333
Bangkok-Pedang Besar-Kuala Lumpur rail,"['MYS', 'THA']",19.5,64.0,10.0,26.0,236.5,41.0,18.0,41.0,0.08260729022066253
Tehran-Isfahan HSR,['IRN'],17.0,66.0,10.0,23.0,3.9,0.0,0.0,100.0,4.336230411408242
Seaside I Corridor,"['RUS', 'CHN']",16.2,31.0,42.0,27.0,3.9,0.0,0.0,100.0,4.1285024654721
Urumqi-Khorgos rail,['CHN'],16.1,0.0,55.0,45.0,13.3,37.0,9.0,54.0,1.2041597516841651
Karachi-Hyderabad-Lahore-Peshawar rail upgrade,['PAK'],14.3,48.0,10.0,42.0,4.0,1.0,0.0,99.0,3.586481776059557
Gwadar rail,['PAK'],9.4,12.0,0.0,88.0,3.9,0.0,0.0,100.0,2.395059972700142
Urumqi-Khorgos road,['CHN'],8.5,0.0,52.0,48.0,9.6,19.0,16.0,65.0,0.8864376225003698
Baku-Tbilisi rail,"['AZE', 'GEO']",4.5,53.0,25.0,22.0,3.9,0.0,0.0,100.0,1.1475907676910957
Kyaukpyu Port,['MMR'],3.4,1.0,15.0,85.0,10.8,0.0,33.0,67.0,0.31470008337873645
Bangkok-Vientiane rail,['THA'],3.4,58.0,13.0,29.0,4.0,1.0,1.0,99.0,0.8578344354403875
Khorgos-Almaty road,['KAZ'],3.3,46.0,37.0,17.0,69.1,30.0,47.0,23.0,0.047707658355126185
Highway AH3,"['RUS', 'LAO', 'MNG', 'CHN']",2.1,0.0,48.0,52.0,3.9,0.0,0.0,100.0,0.5403922946418208
MRL East Coast Rail Link,['MYS'],1.6,55.0,15.0,30.0,3.9,0.0,0.0,100.0,0.40573422641475637
Samarkand-Mashhad rail,"['UZB', 'IRN', 'TKM']",1.6,59.0,13.0,28.0,4.0,1.0,0.0,99.0,0.41146850127537676
Highway A3,['KAZ'],1.5,37.0,30.0,33.0,36.0,50.0,18.0,32.0,0.041377516884344746
Havelian-Larkana-Hyderabad rail,['PAK'],1.3,43.0,3.0,54.0,3.9,0.0,0.0,100.0,0.33051633126773405
Kashgar-Tashkent rail,"['KGZ', 'UZB', 'CHN']",1.2,12.0,9.0,79.0,4.0,1.0,0.0,99.0,0.3127561449348068
Vietnam-Cambodia rail,"['KHM', 'VNM']",1.2,54.0,17.0,29.0,10.1,8.0,20.0,73.0,0.11637464510609373
Khorgos-Aktau Railway,['KAZ'],0.4,32.0,41.0,27.0,4.0,0.0,1.0,99.0,0.10485803232582801
N5 Road,['PAK'],0.2,63.0,11.0,26.0,19.2,33.0,9.0,58.0,0.011629646286683792
Amur Bridge,['CHN'],0.2,0.0,51.0,49.0,55.1,46.0,18.0,36.0,0.0027280389604360067
Multan-Sukkur road,['PAK'],0.1,62.0,11.0,27.0,3.9,0.0,0.0,100.0,0.018057383198820234
Lahore-Abdul Hakeem upgrade,['PAK'],0.1,63.0,12.0,25.0,4.0,1.0,0.0,98.0,0.012656912945751796
Noi Bai-Lao Cai expressway,['VNM'],0.1,49.0,44.0,7.0,3.9,0.0,0.0,100.0,0.013303606998874196
Multan Highway,['PAK'],0.1,62.0,4.0,34.0,3.9,0.0,0.0,100.0,0.022999639296736672
Dushanbe-Afghan rail,['TJK'],0.0,0.0,38.0,62.0,4.0,0.0,0.0,100.0,1.0425438650760383e-10
Western Rail Corridor,"['MNG', 'CHN']",0.0,0.0,38.0,61.0,3.9,0.0,0.0,100.0,1.0748954046182521e-10
Sihanoukville Port,['KHM'],0.0,0.0,38.0,62.0,7.4,22.0,16.0,62.0,5.717921215231828e-11
China-Pakistan rail,"['PAK', 'CHN']",0.0,0.0,38.0,61.0,6.3,21.0,6.0,73.0,6.73670205476825e-11
Turkmenbashi rail,['TKM'],0.0,0.0,38.0,62.0,3.9,0.0,0.0,100.0,1.0748954046182521e-10
Shahdadkot-DI Khan-Islamabad road,['PAK'],0.0,49.0,0.0,51.0,4.7,9.0,2.0,89.0,0.0012261890936847047
Northern Rail Corridor,"['RUS', 'MNG']",0.0,4.0,38.0,58.0,3.9,0.0,0.0,100.0,1.0748954046182521e-10
Highway M36,['KAZ'],0.0,0.0,38.0,61.0,21.1,10.0,22.0,68.0,1.999521868426045e-11
Anaklia port,['GEO'],0.0,34.0,0.0,66.0,3.9,0.0,0.0,100.0,0.0037737542026071557
Kalay-Tamu-Jiribam rail,"['MMR', 'IND']",0.0,6.0,38.0,56.0,3.9,0.0,0.0,100.0,1.0748954046182521e-10
Hambantota Port,['LKA'],0.0,0.0,38.0,62.0,9.1,24.0,10.0,66.0,4.626503578950005e-11
M8 road,['PAK'],0.0,0.0,38.0,61.0,3.9,0.0,0.0,100.0,1.0748954046182521e-10
Yarkant road,['CHN'],0.0,0.0,38.0,62.0,3.9,0.0,0.0,100.0,1.0715263900920209e-10
Seaside II Corridor,"['RUS', 'MNG']",0.0,4.0,38.0,58.0,3.9,0.0,0.0,100.0,1.0748954046182521e-10
Dali-Lashio rail,"['MMR', 'CHN']",0.0,0.0,38.0,62.0,27.5,19.0,41.0,40.0,1.5337144348922943e-11
Dhaka-Bongaon rail,"['BGD', 'IND']",0.0,6.0,38.0,56.0,4.0,1.0,1.0,98.0,1.0562218416432646e-10
Turkmenbashi Port,['TKM'],0.0,0.0,38.0,62.0,21.6,25.0,32.0,44.0,1.947049134522871e-11
Melaka Gateway Port,['MYS'],0.0,0.0,38.0,61.0,3.9,0.0,0.0,100.0,1.0747175174888179e-10
Gwadar Port,['PAK'],0.0,0.0,38.0,61.0,3.9,0.0,0.0,100.0,1.0748954046182521e-10
Highway M32,['KAZ'],0.0,0.0,38.0,61.0,3.9,0.0,0.0,100.0,1.0748954046182521e-10
Kunming-Vientiane rail,"['LAO', 'CHN']",0.0,0.0,38.0,62.0,27.7,47.0,1.0,52.0,1.5191165368565688e-11
Southern Coal Railway,"['MNG', 'CHN']",0.0,0.0,38.0,61.0,5.1,12.0,4.0,84.0,8.228211329966083e-11
Highway AH4,"['MNG', 'CHN']",0.0,0.0,38.0,61.0,10.1,32.0,14.0,54.0,4.150903846418813e-11
Eastern Rail Corridor,"['MNG', 'CHN']",0.0,0.0,38.0,61.0,4.9,2.0,2.0,96.0,8.681114939691399e-11
Kashgar-Dushanbe rail,"['KGZ', 'TJK', 'CHN']",0.0,0.0,38.0,62.0,745.0,1.0,45.0,55.0,5.65384320343355e-13
Kuala Linggi Port,['MYS'],0.0,0.0,38.0,61.0,3.9,0.0,0.0,100.0,1.0748954046182521e-10
Karakoram Highway,"['PAK', 'CHN']",0.0,0.0,38.0,61.0,3.9,0.0,0.0,100.0,1.0748954046182521e-10
Sher Khan-Herat rail,['AFG'],0.0,0.0,38.0,61.0,45.5,48.0,8.0,44.0,9.259940669367389e-12
Highway P4_A17,['KAZ'],0.0,0.0,38.0,61.0,3.9,0.0,0.0,100.0,1.0748954046182521e-10
Besima-Jacobabad rail,['PAK'],0.0,0.0,38.0,61.0,14.5,7.0,2.0,91.0,2.8992461385339862e-11
Surab-DI Khan road,['PAK'],0.0,0.0,38.0,61.0,46.8,47.0,14.0,39.0,8.999357215680968e-12
Penang Port,['MYS'],0.0,0.0,38.0,61.0,4.8,0.0,8.0,91.0,8.816454041741217e-11
